Company Name,Year Founded,Location,Sector,Amount,Stage,Funding Year,Revenue
Rupeek,2018,Bangalore,FinTech,45000000,Series C,2020,100
CoinDCX,2017,Mumbai,FinTech,10000000,Series B,2020,35
Cashfree,2015,Bangalore,FinTech,35000000,Series B,2020,89
Credgenics,2015,New Delhi,FinTech,3000000,Pre-series A,2020,559
Ensuredit,2015,Gurugram,FinTech,300000,Pre-series A,2020,227
Grip Invest,1998,Gurugram,FinTech,0,Pre-series A,2020,100
True Balance,2019,Gurugram,FinTech,28000000,Series C,2020,344
Slice,2016,Bangalore,FinTech,5000000,Debt,2020,32
GalaxyCard,2019,Gurugram,FinTech,0,Seed,2020,5
FlexiLoans,2018,Mumbai,FinTech,6000000,Debt,2020,283
Credgenics,2017,Gurugram,FinTech,3300000,Seed,2020,2
GetVantage,2015,Mumbai,FinTech,5000000,Seed,2020,110
BASIC Home Loan,2017,Gurugram,FinTech,5000000,Seed,2020,87
Clair,2015,New York,FinTech,4500000,Seed,2020,12
Razorpay,2015,Bangalore,FinTech,100000000,Series D,2020,343
Uni,2009,Mumbai,FinTech,18500000,Seed,2020,56
Credit Wise Capital,2014,Mumbai,FinTech,6000000,Seed,2020,3
Unocoin,2015,Tumkur,FinTech,0,Series A,2020,98
Smallcase,2015,Bangalore,FinTech,13400000,Series B,2020,521
Origa,2018,Andheri,FinTech,2000000,Debt,2020,45
Recordent,2018,Hyderabad,FinTech,0,Seed,2020,14
FPL Technologies,2019,Pune,FinTech,10000000,Series A,2020,20
Pulse,2020,Mumbai,FinTech,750000,Pre-series A,2020,34
Groww,2017,Bangalore,FinTech,30000000,Series C,2020,74
Qapita,2012,Singapore,FinTech,1080000,Seed,2020,20
Sunday,2014,Bangkok,FinTech,9000000,Pre-Series B,2020,125
FypMoney,2016,Gurugram,FinTech,2000000,Seed,2021,54
CoinSwitch Kuber,2016,Bangalore,FinTech,25000000,Series B,2021,38
Razorpay,2017,Bangalore,FinTech,160000000,Series E,2021,105
CredFlow,2017,New Delhi,FinTech,2000000,Seed,2021,37
Lendingkart,2016,Gujarat,FinTech,15000000,Debt,2021,21
CRED,2017,Bangalore,FinTech,215000000,Series D,2021,464
Groww,2016,Bangalore,FinTech,83000000,Series D,2021,16
Avanti Finance,2018,Bangalore,FinTech,26000000,Series A,2021,75
Kudos,2019,Pune,FinTech,0,Pre-series A,2021,61
Alteria Capital,2020,Mumbai,FinTech,1.5E+11,Debt,2021,71
Akudo,2015,Bangalore,FinTech,0,Pre-seed,2021,23
Smallcase,2014,Bangalore,FinTech,40000000,Series C,2021,62
BharatPe,2019,New Delhi,FinTech,20000000,Debt,2021,87
BharatPe,2014,New Delhi,FinTech,370000000,Series E,2021,6
StockGro,1994,Bangalore,FinTech,5000000,Pre-series A,2021,14
RenewBuy,2013,Gurugram,FinTech,10000000,Series C,2021,86
Juspay,2012,Bangalore,FinTech,60000000,Series C,2021,43
KreditBee,2017,Bangalore,FinTech,75000000,Series C,2021,64
Zolve,2017,Bangalore,FinTech,15000000,Seed,2021,78
BharatPe,2020,New Delhi,FinTech,100000000,Series D,2021,100
EduFund,2015,Gujarat,FinTech,300000,Pre-seed,2021,32
Siply,2013,Bangalore,FinTech,1000000,Seed,2021,94
SarvaGram,2019,Mumbai,FinTech,10000000,Series B,2021,23
Eduvanz,2019,Mumbai,FinTech,10000000,Debt,2021,54
Progcap,2015,New Delhi,FinTech,1000000,Debt,2021,327
Aviom Housing Finance,2016,New Delhi,FinTech,1000000,Debt,2021,98
DotPe,2019,Gurugram,FinTech,8000000,Seed,2021,31
GrowFix,2017,Bangalore,FinTech,2000000,Seed,2021,75
BharatPe,2017,New Delhi,FinTech,6000000,Debt,2021,32
BharatPe,2019,New Delhi,FinTech,10000000,Debt,2021,89
Phi Commerce,2014,Pune,FinTech,4000000,Series A,2021,54
Cred,2017,Bangalore,FinTech,81000000,Series C,2021,29
Zerone,2016,Gurgaon,FinTech,1300000,Pre-series A,2021,3
BharatPe,2015,New Delhi,FinTech,8200000,Debt,2021,55
Pencilton,2019,Hyderabad,FinTech,330000,Pre-seed,2021,2
Fable Fintech,1995,Mumbai,FinTech,0,Series A,2021,6
Refyne,2019,Bangalore,FinTech,20000000,Series A,2021,54
Junio,2020,New Delhi,FinTech,600000,Seed,2021,76
Flexmoney,2014,Mumbai,FinTech,4800000,Series A,2021,45
Fampay,2016,Bangalore,FinTech,38000000,Series A,2021,32
Upside AI,2019,Mumbai,FinTech,1200000,Seed,2021,65
DigiSparsh,2016,Mumbai,FinTech,0,Seed,2021,74
BimaPe,2014,Mumbai,FinTech,500000,Pre-seed,2021,12
Velocity,2017,Bangalore,FinTech,1300000,Seed,2021,93
Rupifi,2017,Bangalore,FinTech,4100000,Pre-series A,2021,67
Moneyboxx,2008,Mumbai,FinTech,3000000,Debt,2021,26
True Balance,2012,Gurugram,FinTech,10000000,Debt,2021,27
Firmway,2014,Mumbai,FinTech,0,Pre-seed,2021,61
YAP,2018,Chennai,FinTech,10000000,Series B,2021,26
BankSathi,2018,New Delhi,FinTech,200000,Seed,2021,15
Karbon Card,2017,Bangalore,FinTech,1000000,Pre-series A,2021,50
Avalon Labs,2013,Bangalore,FinTech,0,Pre-series A,2021,65
Jai Kisan,2008,Mumbai,FinTech,30000000,Series A,2021,64
BharatPe,2013,New Delhi,FinTech,6000000,Debt,2021,76
Avail Finance,2014,Bangalore,FinTech,3000000,Debt,2021,32
Arthya Wealth and Investments,2016,Mumbai,FinTech,1000000,Pre-series A,2021,71
Unnati,2019,Noida,FinTech,7000000,Series A,2021,95
Progcap,2020,New Delhi,FinTech,30000000,Series C,2021,35
Chqbook,2017,Gurugram,FinTech,5000000,Pre-series B,2021,132
Karbon Card,2020,Bangalore,FinTech,12000000,Pre-series A,2021,56
HappyCredit,2015,Bangalore,FinTech,600000,Pre-seed,2021,61
